Year-Make-Model,Price
2009 Audi A3,49823
2009 Audi A3,45532
2009 Audi A3,47027
2009 Audi A3,45009
2009 Audi A3,40652
2009 Audi A5,68826
2009 Audi A5,72177
2009 Audi Q7,78695
2009 Audi Q7,36453
2009 Audi A4 Sedan,36609
2009 Audi A4 Sedan,35022
2009 Audi A4 Sedan,46153
2012 Acura TL,32224
2012 Acura TL,34085
2010 BMW X5,79518
2011 BMW X5,94816
2010 BMW X6,150692
2011 BMW X6,144495
2012 Chevrolet Colorado,23171
2012 Chevrolet Colorado,23643
2012 Chevrolet Colorado,27328
2011 Chevrolet Colorado,20803
2011 Chevrolet Colorado,22945
2011 Chevrolet Colorado,21806
2010 Chevrolet Colorado,28397
2010 Chevrolet Colorado,29886
2010 Chevrolet Colorado,22807
2012 Chevrolet Express,46287
2012 Chevrolet Express,37992
2011 Chevrolet Express,30644
2011 Chevrolet Express,30019
2011 Chevrolet Express,43925
2011 Chevrolet Express,16668
2010 Chevrolet Express,32214
2010 Chevrolet Express,46469
2011 Chevrolet Silverado 1500,20839
2011 Chevrolet Silverado 1500,35832
2011 Chevrolet Silverado 1500,25061
2010 Chevrolet Silverado 1500,21114
2010 Chevrolet Silverado 1500,28282
2010 Chevrolet Silverado 1500,35631
2011 Nissan 370Z Coupe,32405
2010 Nissan 370Z Coupe,41639
2009 Nissan 370Z Coupe,31507
2011 Volvo C30,4458
2011 Volvo C30,8322
2010 Volvo C30,2313
2010 Volvo C30,4802
2010 Bentley Brooklands,188218
2012 Bentley Continental Supersports Convertible,156882
2012 Bentley Continental Supersports Coupe,179426
2011 Bentley Continental Supersports Convertible,190786
2010 Bentley Continental Supersports,139931
2012 Bentley Continental Flying Spur,194874
2012 Bentley Continental Flying Spur,138457
2011 Bentley Continental Flying Spur,180001
2010 Bentley Continental Flying Spur,104161
2010 Bentley Continental Flying Spur,123669
2011 Volvo C70,47414
2010 Volvo C70,2480
2010 Volvo C70,4985
2010 Volvo S40,4664
2010 Volvo S40,39665
